연월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
"2025
(5월 기준)","88,212
(11.7)","48,623
(6.4)","37,027
(4.9)","62,986
(8.4)","16,641
(2.2)","22,843
(3.0)","10,786
(1.4)","5,934
(0.8)","169,781
(22.5)","22,455
(3.0)","28,860
(3.8)","34,545
(4.6)","26,902
(3.6)","35,169
(4.7)","37,957
(5.0)","52,856
(7.0)","52,529
(7.0)","754,106"
2024,"83,868
(12.3)","44,259
(6.5)","35,212
(5.1)","54,398
(8.0)","15,240
(2.2)","21,314
(3.1)","9,817
(1.4)","5,424
(0.8)","151,850
(22.2)","21,004
(3.1)","25,375
(3.7)","30,654
(4.5)","24,872
(3.6)","31,417
(4.6)","33,905
(5.0)","46,628
(6.8)","49,007
(7.2)","684,244"
2023,"72,937
(13.4)","34,643
(6.4)","30,396
(5.6)","40,397
(7.4)","12,538
(2.3)","17,889
(3.3)","7,838
(1.4)","4,393
(0.8)","114,117
(21.0)","18,236
(3.4)","19,972
(3.7)","24,130
(4.4)","19,795
(3.6)","24,200
(4.4)","26,776
(4.9)","36,225
(6.7)","39,418
(7.2)","543,900"
2022,"59,327
(15.2)","22,063
(5.7)","24,161
(6.2)","26,242
(6.7)","9,096
(2.3)","14,476
(3.7)","5,061
(1.3)","3,034
(0.8)","77,648
(19.9)","14,012
(3.6)","15,140
(3.9)","16,611
(4.3)","12,727
(3.3)","15,387
(3.9)","19,154
(4.9)","22,740
(5.8)","32,976
(8.5)","389,855"
2021,"40,564
(17.5)","12,375
(5.3)","16,185
(7.0)","12,820
(5.5)","5,194
(2.2)","7,701
(3.3)","3,166
(1.4)","1,859
(0.8)","39,958
(17.3)","7,946
(3.4)","8,194
(3.5)","9,991
(4.3)","7,365
(3.2)","8,708
(3.8)","11,240
(4.9)","12,606
(5.4)","25,571
(11.0)","231,443"
2020,"23,393
(17.3)","5,355
(4.0)","12,630
(9.4)","5,366
(4.0)","3,210
(2.4)","4,469
(3.3)","2,274
(1.7)","1,148
(0.9)","20,477
(15.2)","4,078
(3.0)","3,883
(2.9)","5,489
(4.1)","3,323
(2.5)","5,223
(3.9)","7,051
(5.2)","6,308
(4.7)","21,285
(15.8)","134,962"
2019,"14,952
(16.6)","3,216
(3.6)","11,313
(12.6)","2,598
(2.9)","2,464
(2.7)","2,555
(2.8)","1,447
(1.6)","903
(1.0)","11,750
(13.1)","2,445
(2.7)","2,412
(2.7)","2,841
(3.2)","1,841
(2.0)","3,326
(3.7)","4,051
(4.5)","3,626
(4.0)","18,178
(20.2)","89,918"
2018,"9,564
(17.2)","1,567
(2.8)","6,605
(11.8)","1,284
(2.3)","1,447
(2.6)","1,334
(2.4)","847
(1.5)","394
(0.7)","6,383
(11.4)","1,377
(2.5)","1,199
(2.2)","1,127
(2.0)","997
(1.8)","1,974
(3.5)","2,001
(3.6)","2,107
(3.8)","15,549
(27.9)","55,756"
2017,"4,797
(19.1)","816
(3.2)","2,005
(8.0)","542
(2.2)","548
(2.2)","303
(1.2)","356
(1.4)","95
(0.4)","2,290
(9.1)","459
(1.8)","281
(1.1)","336
(1.3)","336
(1.3)","960
(3.8)","756
(3.0)","1,022
(4.1)","9,206
(36.7)","25,108"
2016,"1,498
(13.8)","366
(3.4)","344
(3.2)","207
(1.9)","239
(2.2)","74
(0.7)","103
(0.9)","25
(0.2)","650
(6.0)","150
(1.4)","60
(0.6)","170
(1.6)","57
(0.5)","446
(4.1)","278
(2.6)","559
(5.1)","5,629
(51.9)","10,855"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
개인정보취급방침      |,이메일무단수집거부      |,사이트맵,,,,,,,,,,,,,,,,
